Name Position Velocity in143
id,	name,	x,	y,	velo,
0,	V0,	6.0,	0.0,	2.0
1,	V1,	13.0,	0.0,	3.0
2,	V2,	37.5,	2.5,	2.5
3,	V3,	30.0,	0.0,	2.5
4,	V4,	48.0,	0.0,	2.0
5,	V5,	5.0,	7.5,	2.5
6,	V6,	18.0,	8.0,	2.0
7,	V7,	29.0,	10.0,	3.0
8,	V8,	39.0,	13.0,	3.0
9,	V9,	42.5,	7.5,	2.5
10,	V10,	4.0,	18.0,	2.0
11,	V11,	24.0,	18.0,	2.0
12,	V12,	40.0,	24.0,	2.0
13,	V13,	40.0,	26.0,	2.0
14,	V14,	49.0,	20.0,	3.0
15,	V15,	10.0,	32.0,	2.0
16,	V16,	20.0,	34.0,	3.0
17,	V17,	32.5,	35.5,	2.5
18,	V18,	45.0,	28.0,	2.5
19,	V19,	49.0,	27.0,	3.0
20,	V20,	20.0,	42.0,	3.0
21,	V21,	28.0,	38.0,	2.0
22,	V22,	30.0,	46.0,	2.0
23,	V23,	40.0,	45.5,	2.5
24,	V24,	40.0,	40.0,	2.0
